"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"0754000117";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0765342987";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0767903382";"031286504X";"0345342968";"0767903382";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"077104450X";"0140252517";"0517642689";"077104450X";"0789706032";"0836218833";"0836220889";"088365721X";"1559712252";"1567616089";"000225669X";"0006379702"
"0786013230";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0786013990";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0786014512";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0786812508";"0060096195";"0141310340";"0142302198";"0156006065";"0375821813";"038076041X";"0439401399";"0552546933";"0689804458";"0699854289";"0786812508"
"0786817070";"0060096195";"0141310340";"0142302198";"0156006065";"0375821813";"038076041X";"0439401399";"0552546933";"0689804458";"0699854289";"0786812508"
"0789706032";"0140252517";"0517642689";"077104450X";"0789706032";"0836218833";"0836220889";"088365721X";"1559712252";"1567616089";"000225669X";"0006379702"
"0792270142";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0804106304";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0804109990";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0805047379";"0553581112";"0805047379";"0892964456";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0805057706";"0060096195";"0141310340";"0142302198";"0156006065";"0375821813";"038076041X";"0439401399";"0552546933";"0689804458";"0699854289";"0786812508"
"0805062971";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0812500067";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0812509560";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0812511816";"0812511816";"0880381736";"0880381744";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0812516001";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0812533550";"0064430227";"0812533550";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845"
"0812550153";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602";"0515131520";"0812550153";"0812550307"
"0812550307";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602";"0515131520";"0812550153";"0812550307"
"0812568710";"0671032658";"0812568710";"0843921609";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0812571029";"0091830893";"0586207414";"0812571029";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0812571118";"0312331754";"0312979517";"0316154059";"0345450175";"0345452550";"0375727981";"0385305389";"0394543289";"0399135804";"0399141340";"0399146466"
"0812583566";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"081297106X";"006054094X";"0375706038";"081297106X";"0843951826";"1400032628";"1585861553";"000225669X";"0006379702";"000651118X";"002542730X";"00273755"
"0816704627";"0816704627";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0833531654";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0836218833";"0140252517";"0517642689";"077104450X";"0789706032";"0836218833";"0836220889";"088365721X";"1559712252";"1567616089";"000225669X";"0006379702"
"0836220889";"0140252517";"0517642689";"077104450X";"0789706032";"0836218833";"0836220889";"088365721X";"1559712252";"1567616089";"000225669X";"0006379702"
"0843128240";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0843920262";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0843921609";"0671032658";"0812568710";"0843921609";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0843946415";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0843949163";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602";"0515131520";"0812550153";"0812550307"
"0843951826";"006054094X";"0375706038";"081297106X";"0843951826";"1400032628";"1585861553";"000225669X";"0006379702";"000651118X";"002542730X";"00273755"
"0864425589";"0864425589";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0865472807";"0865472807";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0874869870";"0060930187";"0375760911";"0689817851";"0874869870";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794"
"0879517344";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0880381736";"0812511816";"0880381736";"0880381744";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0880381744";"0812511816";"0880381736";"0880381744";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"088365721X";"0140252517";"0517642689";"077104450X";"0789706032";"0836218833";"0836220889";"088365721X";"1559712252";"1567616089";"000225669X";"0006379702"
"0886773741";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602";"0515131520";"0812550153";"0812550307"
"0886774802";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602";"0515131520";"0812550153";"0812550307"
"0886774829";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602";"0515131520";"0812550153";"0812550307"
"0886775426";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602";"0515131520";"0812550153";"0812550307"
"0886775957";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602";"0515131520";"0812550153";"0812550307"
"0886776783";"0140182551";"0446310786";"0886776783";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0886777178";"0312169817";"0345348672";"0345354621";"0345435036";"0385264356";"0425104273";"0440218667";"0440220602";"0515131520";"0812550153";"0812550307"
"0890875588";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0892964456";"0553581112";"0805047379";"0892964456";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X"
"0943066433";"0060517794";"0671537458";"0679776818";"0943066433";"1885408226";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"0969691319";"0969691319";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0971880107";"0312283709";"0446605484";"0446611212";"0451207955";"0609804138";"074343627X";"0971880107";"000225669X";"0006379702";"000651118X";"002542730X"
"1400001625";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"1400002672";"002542730X";"0099414732";"0140154078";"0194216748";"0385504209";"0553275283";"0582530431";"063403541X";"1400002672";"840149236X";"8420432113"
"1400032628";"006054094X";"0375706038";"081297106X";"0843951826";"1400032628";"1585861553";"000225669X";"0006379702";"000651118X";"002542730X";"00273755"
"1551666308";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"1551925060";"0060096195";"0141310340";"0142302198";"0156006065";"0375821813";"038076041X";"0439401399";"0552546933";"0689804458";"0699854289";"0786812508"
"1557730091";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"1558172882";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"1558744592";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"1559712252";"0140252517";"0517642689";"077104450X";"0789706032";"0836218833";"0836220889";"088365721X";"1559712252";"1567616089";"000225669X";"0006379702"
"1562827898";"1562827898";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"1566190096";"1566190096";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"1566911605";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"1567616089";"0140252517";"0517642689";"077104450X";"0789706032";"0836218833";"0836220889";"088365721X";"1559712252";"1567616089";"000225669X";"0006379702"
"1569312435";"1569312435";"1892213141";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845"
"1570231028";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"1572971835";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"1573229571";"1573229571";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"1573248533";"0060096195";"0141310340";"0142302198";"0156006065";"0375821813";"038076041X";"0439401399";"0552546933";"0689804458";"0699854289";"0786812508"
"1585861553";"006054094X";"0375706038";"081297106X";"0843951826";"1400032628";"1585861553";"000225669X";"0006379702";"000651118X";"002542730X";"00273755"
"1586609726";"1586609726";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"1593080255";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"1841193887";"0434009407";"1841193887";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845"
"1852422580";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"1853260665";"0713628944";"1853260665";"2070414256";"2070419657";"2253063339";"2253137243";"2253144452";"2253152072";"226612269X";"2702400612";"2702401694"
"1853262404";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"1883473004";"1883473004";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"1885408226";"0060517794";"0671537458";"0679776818";"0943066433";"1885408226";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"1892213141";"1569312435";"1892213141";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845"
"1899344705";"0749336145";"1899344705";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845"
"2.02.032126.2";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2.264.03602.8";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2010173929";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"20103389";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2012003494";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2013218826";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2013220162";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2020058863";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2020062399";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2020101653";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"202011528X";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"20202006935";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"20203119888";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2020386666";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2020564777";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2020591944";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2038701962";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2061007074";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2070264564";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"207033015X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2070332985";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2070334430";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2070365832";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2070378411";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2070386023";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2070394956";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2070403734";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2070404587";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2070404706";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2070404722";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2070406962";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2070408450";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2070414256";"0713628944";"1853260665";"2070414256";"2070419657";"2253063339";"2253137243";"2253144452";"2253152072";"226612269X";"2702400612";"2702401694"
"2070419657";"0713628944";"1853260665";"2070414256";"2070419657";"2253063339";"2253137243";"2253144452";"2253152072";"226612269X";"2702400612";"2702401694"
"2070425770";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2070725804";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2080674722";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2080680676";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2080680692";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2203142278";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2205040561";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"221096900X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2226070109";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2226126570";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2226135022";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2232122263";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2253005274";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2253030570";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2253044903";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2253049417";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2253050407";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2253055972";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2253063339";"0713628944";"1853260665";"2070414256";"2070419657";"2253063339";"2253137243";"2253144452";"2253152072";"226612269X";"2702400612";"2702401694"
"225307659X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2253137243";"0713628944";"1853260665";"2070414256";"2070419657";"2253063339";"2253137243";"2253144452";"2253152072";"226612269X";"2702400612";"2702401694"
"2253144452";"0713628944";"1853260665";"2070414256";"2070419657";"2253063339";"2253137243";"2253144452";"2253152072";"226612269X";"2702400612";"2702401694"
"2253150711";"2253150711";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"2253152072";"0713628944";"1853260665";"2070414256";"2070419657";"2253063339";"2253137243";"2253144452";"2253152072";"226612269X";"2702400612";"2702401694"
"2253171670";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2253172367";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2264010991";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2264013257";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2264018194";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2264024674";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"226402593X";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2264027134";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2264027568";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2264029463";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"226403114";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2264031158";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2264033282";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"226403601X";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2264036036";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2266040820";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2266047280";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"226604960";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2266076000";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"22660861003";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2266095536";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2266096451";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2266102028";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2266102621";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2266104535";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2266105698";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2266121367";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"226612269X";"0713628944";"1853260665";"2070414256";"2070419657";"2253063339";"2253137243";"2253144452";"2253152072";"226612269X";"2702400612";"2702401694"
"2277221678";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2277302228";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2290303488";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2290308285";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2290309494";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2290312924";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2290315524";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2290318329";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2290321028";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2290321559";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2422614189";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2702400612";"0713628944";"1853260665";"2070414256";"2070419657";"2253063339";"2253137243";"2253144452";"2253152072";"226612269X";"2702400612";"2702401694"
"2702401694";"0713628944";"1853260665";"2070414256";"2070419657";"2253063339";"2253137243";"2253144452";"2253152072";"226612269X";"2702400612";"2702401694"
"2702424131";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2723402983";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2742724028";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2742724613";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
"2742729038";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2742739351";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"2743602295";"2020101653";"202011528X";"20202006935";"20203119888";"2020564777";"2070386023";"2070394956";"2070404587";"2070404706";"2253030570";"2253171670"
